Date,New,Review,Total
"Monday, May 10, 2010",574,451,1025
"Tuesday, May 11, 2010",509,351,860
"Wednesday, May 12, 2010",551,374,925
"Thursday, May 13, 2010",417,297,714
"Friday, May 14, 2010",377,168,545
"Saturday, May 15, 2010",418,276,694
"Sunday, May 16, 2010",10,19,29
"Monday, May 17, 2010",529,385,914
"Tuesday, May 18, 2010",475,279,754
"Wednesday, May 19, 2010",373,220,593
"Thursday, May 20, 2010",416,251,667
"Friday, May 21, 2010",404,193,597
"Saturday, May 22, 2010",453,271,724
"Sunday, May 23, 2010",9,21,30
"Monday, May 24, 2010",523,371,894
"Tuesday, May 25, 2010",561,332,893
"Wednesday, May 26, 2010",514,332,846
"Thursday, May 27, 2010",503,308,811
"Friday, May 28, 2010",461,241,702
"Saturday, May 29, 2010",444,301,745
"Sunday, May 30, 2010",10,33,43
"Monday, May 31, 2010",497,365,862
"Tuesday, June 1, 2010",458,219,677
"Wednesday, June 2, 2010",372,228,600
"Thursday, June 3, 2010",417,234,651
"Friday, June 4, 2010",368,181,549
"Saturday, June 5, 2010",496,277,773
"Sunday, June 6, 2010",9,34,43
"Monday, June 7, 2010",414,319,733
"Tuesday, June 8, 2010",498,219,717
"Wednesday, June 9, 2010",433,271,704
"Thursday, June 10, 2010",455,270,725
"Friday, June 11, 2010",346,170,516
"Saturday, June 12, 2010",488,349,837
"Sunday, June 13, 2010",13,20,33
"Monday, June 14, 2010",400,345,745
"Tuesday, June 15, 2010",390,228,618
"Wednesday, June 16, 2010",424,289,713
"Thursday, June 17, 2010",414,218,632
"Friday, June 18, 2010",379,181,560
"Saturday, June 19, 2010",391,251,642
"Sunday, June 20, 2010",14,20,34
"Monday, June 21, 2010",395,303,698
"Tuesday, June 22, 2010",402,222,624
"Wednesday, June 23, 2010",635,421,1056
"Thursday, June 24, 2010",525,403,928
"Friday, June 25, 2010",491,386,877
"Saturday, June 26, 2010",582,395,977
"Sunday, June 27, 2010",8,12,20
"Monday, June 28, 2010",476,342,818
"Tuesday, June 29, 2010",400,239,639
"Wednesday, June 30, 2010",421,249,670
